Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
1,120175,08/28/2013,2686,252476-1,252476-1,08/13G,08/28/2013,252476-1,300,1201,"","","",0,251.4
2,120175,08/28/2013,2686,252476-1,252476-1,08/13G,08/28/2013,252476-1,100,1000,"","","",251.4,0
3,120175,08/28/2013,2686,252476-1,252476-1,08/13G,08/28/2013,252476-1,300,3990,"","","",251.4,0
4,120175,08/28/2013,2686,252476-1,252476-1,08/13G,08/28/2013,252476-1,100,3990,"","","",0,251.4
1,120175,08/28/2013,GNT1060,252477-1,252477-1,08/13G,08/28/2013,252477-1,300,1201,"","","",0,204.88
2,120175,08/28/2013,GNT1060,252477-1,252477-1,08/13G,08/28/2013,252477-1,100,1000,"","","",204.88,0
3,120175,08/28/2013,GNT1060,252477-1,252477-1,08/13G,08/28/2013,252477-1,300,3990,"","","",204.88,0
4,120175,08/28/2013,GNT1060,252477-1,252477-1,08/13G,08/28/2013,252477-1,100,3990,"","","",0,204.88
1,120175,08/28/2013,2394,252478-1,252478-1,08/13G,08/28/2013,252478-1,300,1201,"","","",0,283.68
2,120175,08/28/2013,2394,252478-1,252478-1,08/13G,08/28/2013,252478-1,100,1000,"","","",283.68,0
3,120175,08/28/2013,2394,252478-1,252478-1,08/13G,08/28/2013,252478-1,300,3990,"","","",283.68,0
4,120175,08/28/2013,2394,252478-1,252478-1,08/13G,08/28/2013,252478-1,100,3990,"","","",0,283.68
1,120175,08/28/2013,2439,252479-1,252479-1,08/13G,08/28/2013,252479-1,300,1201,"","","",0,713.14
2,120175,08/28/2013,2439,252479-1,252479-1,08/13G,08/28/2013,252479-1,100,1000,"","","",713.14,0
3,120175,08/28/2013,2439,252479-1,252479-1,08/13G,08/28/2013,252479-1,300,3990,"","","",713.14,0
4,120175,08/28/2013,2439,252479-1,252479-1,08/13G,08/28/2013,252479-1,100,3990,"","","",0,713.14
1,120175,08/28/2013,2640,252480-1,252480-1,08/13G,08/28/2013,252480-1,300,1201,"","","",0,445.22
2,120175,08/28/2013,2640,252480-1,252480-1,08/13G,08/28/2013,252480-1,100,1000,"","","",445.22,0
3,120175,08/28/2013,2640,252480-1,252480-1,08/13G,08/28/2013,252480-1,300,3990,"","","",445.22,0
4,120175,08/28/2013,2640,252480-1,252480-1,08/13G,08/28/2013,252480-1,100,3990,"","","",0,445.22
1,120175,08/28/2013,2687,252481-1,252481-1,08/13G,08/28/2013,252481-1,300,1201,"","","",0,94.56
2,120175,08/28/2013,2687,252481-1,252481-1,08/13G,08/28/2013,252481-1,100,1000,"","","",94.56,0
3,120175,08/28/2013,2687,252481-1,252481-1,08/13G,08/28/2013,252481-1,300,3990,"","","",94.56,0
4,120175,08/28/2013,2687,252481-1,252481-1,08/13G,08/28/2013,252481-1,100,3990,"","","",0,94.56
1,120175,08/28/2013,GNT1034,252482-1,252482-1,08/13G,08/28/2013,252482-1,300,1201,"","","",0,1134.72
2,120175,08/28/2013,GNT1034,252482-1,252482-1,08/13G,08/28/2013,252482-1,100,1000,"","","",1134.72,0
3,120175,08/28/2013,GNT1034,252482-1,252482-1,08/13G,08/28/2013,252482-1,300,3990,"","","",1134.72,0
4,120175,08/28/2013,GNT1034,252482-1,252482-1,08/13G,08/28/2013,252482-1,100,3990,"","","",0,1134.72
1,120175,08/28/2013,2772,252483-1,252483-1,08/13G,08/28/2013,252483-1,300,1201,"","","",0,126.08
2,120175,08/28/2013,2772,252483-1,252483-1,08/13G,08/28/2013,252483-1,100,1000,"","","",126.08,0
3,120175,08/28/2013,2772,252483-1,252483-1,08/13G,08/28/2013,252483-1,300,3990,"","","",126.08,0
4,120175,08/28/2013,2772,252483-1,252483-1,08/13G,08/28/2013,252483-1,100,3990,"","","",0,126.08
1,120175,08/28/2013,1888,252484-1,252484-1,08/13G,08/28/2013,252484-1,300,1201,"","","",0,315.2
