Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
2,98000004426,07/22/2013,2676,246405,246405,07/13SHP,07/22/2013,246405,100,1000,"","","",1400.0,0
3,98000004426,07/22/2013,2676,246405,246405,07/13SHP,07/22/2013,246405,300,3990,"","","",1400.0,0
4,98000004426,07/22/2013,2676,246405,246405,07/13SHP,07/22/2013,246405,100,3990,"","","",0,1400.0
1,98000004426,07/22/2013,2507,246406,246406,07/13SHP,07/22/2013,246406,300,1204,"","","",0,800.0
2,98000004426,07/22/2013,2507,246406,246406,07/13SHP,07/22/2013,246406,100,1000,"","","",800.0,0
3,98000004426,07/22/2013,2507,246406,246406,07/13SHP,07/22/2013,246406,300,3990,"","","",800.0,0
4,98000004426,07/22/2013,2507,246406,246406,07/13SHP,07/22/2013,246406,100,3990,"","","",0,800.0
1,98000004426,07/22/2013,1698,246407,246407,07/13SHP,07/22/2013,246407,300,1204,"","","",0,56.96
2,98000004426,07/22/2013,1698,246407,246407,07/13SHP,07/22/2013,246407,100,1000,"","","",56.96,0
3,98000004426,07/22/2013,1698,246407,246407,07/13SHP,07/22/2013,246407,300,3990,"","","",56.96,0
4,98000004426,07/22/2013,1698,246407,246407,07/13SHP,07/22/2013,246407,100,3990,"","","",0,56.96
1,98000004426,07/22/2013,2632,246409,246409,07/13SHP,07/22/2013,246409,300,1204,"","","",0,669.28
2,98000004426,07/22/2013,2632,246409,246409,07/13SHP,07/22/2013,246409,100,1000,"","","",669.28,0
3,98000004426,07/22/2013,2632,246409,246409,07/13SHP,07/22/2013,246409,300,3990,"","","",669.28,0
4,98000004426,07/22/2013,2632,246409,246409,07/13SHP,07/22/2013,246409,100,3990,"","","",0,669.28
1,98000004426,07/22/2013,2677,246410,246410,07/13SHP,07/22/2013,246410,300,1204,"","","",0,284.8
2,98000004426,07/22/2013,2677,246410,246410,07/13SHP,07/22/2013,246410,100,1000,"","","",284.8,0
3,98000004426,07/22/2013,2677,246410,246410,07/13SHP,07/22/2013,246410,300,3990,"","","",284.8,0
4,98000004426,07/22/2013,2677,246410,246410,07/13SHP,07/22/2013,246410,100,3990,"","","",0,284.8
1,98000004426,07/22/2013,1712,246411,246411,07/13SHP,07/22/2013,246411,300,1204,"","","",0,1196.16
2,98000004426,07/22/2013,1712,246411,246411,07/13SHP,07/22/2013,246411,100,1000,"","","",1196.16,0
3,98000004426,07/22/2013,1712,246411,246411,07/13SHP,07/22/2013,246411,300,3990,"","","",1196.16,0
4,98000004426,07/22/2013,1712,246411,246411,07/13SHP,07/22/2013,246411,100,3990,"","","",0,1196.16
1,98000004426,07/22/2013,2660,246412,246412,07/13SHP,07/22/2013,246412,300,1204,"","","",0,569.6
2,98000004426,07/22/2013,2660,246412,246412,07/13SHP,07/22/2013,246412,100,1000,"","","",569.6,0
3,98000004426,07/22/2013,2660,246412,246412,07/13SHP,07/22/2013,246412,300,3990,"","","",569.6,0
4,98000004426,07/22/2013,2660,246412,246412,07/13SHP,07/22/2013,246412,100,3990,"","","",0,569.6
1,98000004426,07/22/2013,2615,246413,246413,07/13SHP,07/22/2013,246413,300,1204,"","","",0,227.84
2,98000004426,07/22/2013,2615,246413,246413,07/13SHP,07/22/2013,246413,100,1000,"","","",227.84,0
3,98000004426,07/22/2013,2615,246413,246413,07/13SHP,07/22/2013,246413,300,3990,"","","",227.84,0
4,98000004426,07/22/2013,2615,246413,246413,07/13SHP,07/22/2013,246413,100,3990,"","","",0,227.84
1,98000004426,07/22/2013,2543,246414,246414,07/13SHP,07/22/2013,246414,300,1204,"","","",0,569.6
2,98000004426,07/22/2013,2543,246414,246414,07/13SHP,07/22/2013,246414,100,1000,"","","",569.6,0
3,98000004426,07/22/2013,2543,246414,246414,07/13SHP,07/22/2013,246414,300,3990,"","","",569.6,0
4,98000004426,07/22/2013,2543,246414,246414,07/13SHP,07/22/2013,246414,100,3990,"","","",0,569.6
1,98000004426,07/22/2013,2733,246415,246415,07/13SHP,07/22/2013,246415,300,1204,"","","",0,398.72
2,98000004426,07/22/2013,2733,246415,246415,07/13SHP,07/22/2013,246415,100,1000,"","","",398.72,0
3,98000004426,07/22/2013,2733,246415,246415,07/13SHP,07/22/2013,246415,300,3990,"","","",398.72,0
4,98000004426,07/22/2013,2733,246415,246415,07/13SHP,07/22/2013,246415,100,3990,"","","",0,398.72
1,98000004426,07/22/2013,2734,246416,246416,07/13SHP,07/22/2013,246416,300,1204,"","","",0,199.36
2,98000004426,07/22/2013,2734,246416,246416,07/13SHP,07/22/2013,246416,100,1000,"","","",199.36,0
3,98000004426,07/22/2013,2734,246416,246416,07/13SHP,07/22/2013,246416,300,3990,"","","",199.36,0
4,98000004426,07/22/2013,2734,246416,246416,07/13SHP,07/22/2013,246416,100,3990,"","","",0,199.36
1,98000004426,07/22/2013,2575,246417,246417,07/13SHP,07/22/2013,246417,300,1204,"","","",0,242.08
2,98000004426,07/22/2013,2575,246417,246417,07/13SHP,07/22/2013,246417,100,1000,"","","",242.08,0
